                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.27425,                0.24488,                0.89569,                0.96213,                0.98265,                0.98294,                0.88345,                0.32634,                0.56023,                0.59972,             0.00031042,             0.00031042,             0.00031042
                     56,                0.27274,                  0.242,                0.89355,                0.96819,                0.96469,                0.98421,                0.87658,                0.36727,                0.58784,                0.62512,             0.00030382,             0.00030382,             0.00030382
                     57,                0.26286,                0.22504,                0.89786,                0.95858,                0.97206,                0.98338,                0.88323,                0.32698,                0.55222,                0.60047,             0.00029722,             0.00029722,             0.00029722
                     58,                0.26672,                0.23456,                0.89857,                0.96915,                0.98054,                0.98361,                0.90395,                0.32612,                0.52303,                0.59492,             0.00029061,             0.00029061,             0.00029061
                     59,                0.25225,                0.22256,                0.88706,                0.96593,                0.97889,                 0.9847,                 0.8955,                 0.3284,                0.54731,                0.59481,             0.00028401,             0.00028401,             0.00028401
                     60,                0.26705,                0.24393,                0.89378,                0.96706,                0.96863,                0.98573,                0.90231,                0.31885,                0.53386,                0.59396,             0.00027741,             0.00027741,             0.00027741
                     61,                0.25723,                0.23002,                0.88861,                0.97382,                0.96307,                0.98687,                0.90293,                0.31469,                 0.5381,                0.59386,              0.0002708,              0.0002708,              0.0002708
                     62,                0.25126,                0.23096,                0.88867,                 0.9764,                0.97503,                0.98676,                0.91656,                0.29182,                0.50942,                0.57956,              0.0002642,              0.0002642,              0.0002642
                     63,                  0.259,                0.22589,                0.89131,                0.96443,                0.98471,                0.98672,                0.91191,                0.30268,                0.51708,                0.58428,              0.0002576,              0.0002576,              0.0002576
                     64,                0.24378,                0.21875,                0.88041,                0.97214,                 0.9832,                0.98431,                0.89927,                0.31157,                0.49912,                 0.5896,             0.00025099,             0.00025099,             0.00025099
                     65,                0.24251,                0.21788,                0.88196,                0.97343,                0.97925,                0.98569,                0.90965,                0.29734,                0.48951,                0.58316,             0.00024439,             0.00024439,             0.00024439
                     66,                0.24991,                0.22669,                0.88657,                0.97121,                0.98438,                0.98669,                0.91177,                0.28292,                0.48695,                0.57474,             0.00023779,             0.00023779,             0.00023779
                     67,                 0.2497,                 0.2228,                0.89181,                0.96884,                0.98058,                0.98572,                0.89731,                0.28415,                0.48682,                0.57458,             0.00023118,             0.00023118,             0.00023118
                     68,                0.23982,                0.20992,                0.88563,                0.97224,                0.97259,                 0.9845,                0.90494,                 0.2877,                0.47845,                0.58076,             0.00022458,             0.00022458,             0.00022458
