                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.46885,                 0.4028,                0.99358,                0.97605,                0.99236,                0.99029,                0.86488,                 0.3718,                0.59224,                0.63162,              0.0007492,              0.0007492,              0.0007492
                     78,                0.46952,                0.40527,                0.97404,                0.90596,                 0.2445,                0.27005,                0.23289,                0.37336,                0.58905,                0.64356,              0.0007459,              0.0007459,              0.0007459
                     79,                0.47358,                0.40407,                0.98073,                0.96859,                 0.0437,                0.06717,                0.05862,                0.36444,                0.60999,                0.63922,              0.0007426,              0.0007426,              0.0007426
                     80,                0.46912,                0.40167,                0.97809,                0.99551,                 0.9694,                0.99064,                0.86612,                0.33563,                0.54472,                0.61232,              0.0007393,              0.0007393,              0.0007393
                     81,                0.46488,                0.40398,                0.97467,                0.96917,                0.72877,                0.77178,                0.66924,                0.34878,                0.61995,                 0.6231,               0.000736,               0.000736,               0.000736
                     82,                0.45945,                0.38822,                0.97457,                0.93904,                0.96827,                0.98422,                0.85531,                0.35168,                0.70213,                0.61948,              0.0007327,              0.0007327,              0.0007327
                     83,                0.46557,                0.40115,                0.97465,                0.98461,                0.97968,                 0.9905,                0.83473,                0.39555,                 0.5676,                0.65414,              0.0007294,              0.0007294,              0.0007294
                     84,                0.47357,                0.39266,                0.98418,                0.86006,                0.09092,                0.10449,                0.08372,                0.37568,                0.71403,                0.63795,              0.0007261,              0.0007261,              0.0007261
                     85,                0.47544,                0.39194,                0.98232,                0.99022,                0.97737,                0.99092,                0.86162,                0.37437,                0.59428,                0.62818,              0.0007228,              0.0007228,              0.0007228
                     86,                  0.472,                0.39475,                0.98203,                0.66549,                0.11552,                0.12955,                0.11003,                0.37485,                0.66022,                0.62537,              0.0007195,              0.0007195,              0.0007195
                     87,                0.46664,                0.40994,                0.98559,                0.98914,                0.95337,                0.96372,                0.85222,                0.35691,                0.58645,                0.60873,              0.0007162,              0.0007162,              0.0007162
                     88,                0.45077,                0.37965,                0.97369,                0.99056,                0.97053,                0.98764,                0.86917,                0.37749,                0.57701,                0.62305,              0.0007129,              0.0007129,              0.0007129
                     89,                0.44719,                0.37262,                0.96188,                0.96569,                0.99169,                0.99159,                0.87371,                0.34498,                0.55542,                 0.6209,              0.0007096,              0.0007096,              0.0007096
                     90,                0.44608,                0.38114,                0.97306,                0.99327,                0.98449,                0.99189,                0.87134,                0.35994,                 0.5912,                0.63674,              0.0007063,              0.0007063,              0.0007063
                     91,                0.47044,                0.39628,                0.98848,                0.97434,                0.98325,                0.99086,                0.86642,                0.35451,                0.60626,                 0.6225,               0.000703,               0.000703,               0.000703
                     92,                 0.4536,                0.37676,                0.96942,                 0.9763,                0.97563,                0.98054,                0.86214,                0.38688,                0.60888,                0.63884,              0.0006997,              0.0006997,              0.0006997
                     93,                0.43242,                0.37223,                0.96323,                0.96639,                0.99317,                0.98984,                0.87357,                0.35621,                0.57274,                0.61359,              0.0006964,              0.0006964,              0.0006964
                     94,                0.45723,                0.38369,                0.97777,                0.93684,                0.60632,                0.63491,                0.55808,                0.39264,                0.70897,                0.62897,              0.0006931,              0.0006931,              0.0006931
                     95,                0.44542,                0.38948,                0.97614,                0.98197,                0.97649,                0.99152,                0.86031,                0.36495,                0.56859,                  0.621,              0.0006898,              0.0006898,              0.0006898
                     96,                 0.4542,                0.38625,                 0.9789,                0.97172,                0.61388,                0.63614,                0.55699,                0.37514,                0.60795,                0.63855,              0.0006865,              0.0006865,              0.0006865
                     97,                0.44213,                0.37048,                0.97483,                0.97561,                0.96465,                0.98623,                0.87369,                0.36412,                0.59636,                0.64261,              0.0006832,              0.0006832,              0.0006832
                     98,                0.44718,                0.38376,                0.96783,                0.99123,                0.97132,                0.99071,                0.86428,                0.33519,                 0.5717,                0.61748,              0.0006799,              0.0006799,              0.0006799
                     99,                0.44006,                0.37943,                0.96759,                0.98254,                0.98102,                 0.9918,                0.87455,                0.32177,                0.58169,                0.60631,              0.0006766,              0.0006766,              0.0006766
                    100,                0.43878,                0.36692,                0.96249,                0.97762,                0.97979,                0.98886,                0.87064,                0.32598,                0.54499,                0.60736,              0.0006733,              0.0006733,              0.0006733
                    101,                0.43266,                0.36508,                0.95286,                0.98002,                0.98403,                0.98906,                 0.8639,                0.33185,                0.54362,                0.60658,                0.00067,                0.00067,                0.00067
                    102,                0.44492,                0.37185,                0.97475,                0.98088,                0.95959,                 0.9809,                0.86764,                0.32279,                0.65437,                0.60544,              0.0006667,              0.0006667,              0.0006667
                    103,                0.43207,                0.35587,                0.96713,                  0.979,                0.94556,                0.98671,                0.86649,                0.33529,                0.66429,                0.60688,              0.0006634,              0.0006634,              0.0006634
                    104,                0.41632,                0.36949,                0.96025,                   0.99,                0.99357,                0.99165,                0.86763,                0.33839,                0.52718,                0.61385,              0.0006601,              0.0006601,              0.0006601
                    105,                0.42604,                 0.3641,                0.96033,                0.94616,                0.64219,                0.66101,                0.57846,                 0.3223,                0.48836,                0.60304,              0.0006568,              0.0006568,              0.0006568
                    106,                0.43487,                0.36591,                 0.9607,                0.91984,                 0.9705,                0.96959,                0.84894,                 0.3702,                0.70449,                0.63248,              0.0006535,              0.0006535,              0.0006535
                    107,                0.45637,                0.39149,                0.99253,                0.96792,                0.95068,                0.99005,                0.89533,                0.33899,                0.59075,                0.60803,              0.0006502,              0.0006502,              0.0006502
                    108,                0.42845,                0.36144,                0.96144,                0.97052,                0.96315,                0.98815,                0.86744,                0.38998,                0.67381,                0.62986,              0.0006469,              0.0006469,              0.0006469
                    109,                0.41209,                0.36503,                0.95874,                0.98213,                0.97071,                0.98963,                0.89324,                0.34891,                0.56416,                 0.6086,              0.0006436,              0.0006436,              0.0006436
                    110,                0.43314,                0.36678,                0.97084,                 0.9578,                0.94399,                0.98145,                0.87702,                0.31982,                0.76252,                0.60081,              0.0006403,              0.0006403,              0.0006403
                    111,                0.42535,                0.36807,                0.97209,                0.99209,                0.98069,                0.99096,                0.88353,                0.34345,                0.53522,                0.61241,               0.000637,               0.000637,               0.000637
                    112,                0.45665,                0.37398,                0.97693,                0.98413,                0.97638,                0.99177,                0.85885,                0.35125,                0.61434,                0.62567,              0.0006337,              0.0006337,              0.0006337
